Date,BANKINDIA,SBIN,IDBI,RELIANCE,ICICIBANK
06/01/2018,27,27,49,27,28
06/04/2018,27,27,50,27,27
06/05/2018,26,26,49,26,27
06/06/2018,27,27,49,27,27
06/07/2018,23,23,48.5,27,27
06/08/2018,24,24,49.5,28,28
06/11/2018,23,23,49.5,27,28
06/12/2018,22,22,48.5,26,27
06/13/2018,24,24,49.5,28,29
06/14/2018,23,23,49,27,28
06/15/2018,23,23,49,27,28
06/18/2018,23,23,50,23.5,28.5
06/19/2018,26,26,53,31,32
06/20/2018,39.35,39.35,61.04,42.57,42.16
06/21/2018,41.39,41.39,70.29,39.39,45.01
06/22/2018,39.82,39.82,61.08,41.83,42.23
06/25/2018,40.32,40.32,61.15,42.33,43.13
06/26/2018,41.96,41.96,64.37,43.96,44.76
06/27/2018,47.99,47.99,68.8,47.99,48.79
06/28/2018,55.22,55.22,74.41,55.22,56.82
06/29/2018,70.03,52.85,74.43,52.05,53.65
